generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1787552878-BPKm49glhIh4q6GLZyY9,2026-08-24 06:27:58.154,0.017016,,,,0,64403,427,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,19442,4993,false,Nexus-Key,Aider
gen-1787552870-z5x30mXdSSy2KEI1CiTo,2026-08-24 06:27:50.101,0.000057,,,,0,193,8,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1880,1665,false,Nexus-Key,Aider
gen-1787552869-jv9S2hOpK1UEEn9ALb1A,2026-08-24 06:27:49.628,0.002323,,,,0,7913,279,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,8320,1318,false,Nexus-Key,Aider
gen-1787552867-aRfk7GMDCzTymnWJ4VjK,2026-08-24 06:27:47.368,0.000336,,,,0,1260,12,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1684,1256,false,Nexus-Key,Aider
gen-1787552865-h851D8UbLpiIGgnjthuZ,2026-08-24 06:27:45.834,0.000066,,,,0,186,8,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,1182,761,false,Nexus-Key,Aider
gen-1787552852-Qta4mRNlc75NK8HsQn1d,2026-08-24 06:27:32.230,0.016843,,,,0,63872,392,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,13247,5020,false,Nexus-Key,Aider
gen-1787552844-NG0h4IZau0Jsu97dvgSg,2026-08-24 06:27:24.001,0.002101,,,,0,7039,282,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,8018,1575,false,Nexus-Key,Aider
gen-1787552842-xdjrwZRi0x0m2qmvYcDl,2026-08-24 06:27:22.476,0.000202,,,,0,742,11,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1160,924,false,Nexus-Key,Aider
gen-1787552840-Ru2iC6TODXITX3OmKi7k,2026-08-24 06:27:20.724,0.000056,,,,0,188,8,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1322,1321,false,Nexus-Key,Aider
gen-1787552825-eh6EMKZOlwDL4GDDV09t,2026-08-24 06:27:05.477,0.016583,,,,0,63118,328,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,14931,6553,false,Nexus-Key,Aider
gen-1787552813-VD1Cgrm7heZdQfPOw3ir,2026-08-24 06:26:53.217,0.002103,,,,0,5961,220,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,12003,3081,false,Nexus-Key,Aider
gen-1787552810-dxV3C6TBwABOzv5KvfeA,2026-08-24 06:26:50.145,0.001071,,,,0,3307,15,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,2368,1739,false,Nexus-Key,Aider
gen-1787552808-w34Rr0wVEmev7OEHGP6E,2026-08-24 06:26:48.168,0.000061,,,,0,196,11,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1492,1492,false,Nexus-Key,Aider
gen-1787552783-qFGgFJuZRoAERhtOgMKz,2026-08-24 06:26:23.689,0.016815,,,,0,61972,840,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,23867,3145,false,Nexus-Key,Aider
gen-1787552718-Mk8B642rY3ddLLAOr22H,2026-08-24 06:25:18.101,0.016742,,,,0,60908,1035,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,23150,3189,false,Nexus-Key,Aider
gen-1787552655-J7F7E96oroogOxDZJueA,2026-08-24 06:24:15.364,0.016118,,,,0,60287,584,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,25946,7473,false,Nexus-Key,Aider
gen-1787552622-M6D1Y4dyzlMZHubrnHBy,2026-08-24 06:23:42.779,0.000056,,,,0,192,7,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1914,1903,false,Nexus-Key,Aider
gen-1787552622-vt7TVa3TSh7ah0a23c41,2026-08-24 06:23:42.384,0.001317,,,,0,3453,239,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,4251,367,false,Nexus-Key,Aider
gen-1787552619-BuTXI4ytDqCng7VmF6WK,2026-08-24 06:23:39.768,0.00104,,,,0,2558,13,0,0,deepseek/deepseek-chat-v3,Novita,standard,false,true,,stop,stop,1910,1715,false,Nexus-Key,Aider
gen-1787552617-Hq9D0JBkxuBzHzYB7gL0,2026-08-24 06:23:37.111,0.000055,,,,0,187,7,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,2315,2312,false,Nexus-Key,Aider
gen-1787552597-VFJVnlkOdqIwX5HOB4W6,2026-08-24 06:23:17.903,0.015839,,,,0,59572,492,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,17855,4793,false,Nexus-Key,Aider
gen-1787552592-L3HYPfhe6rrQsbLqk6qe,2026-08-24 06:23:12.003,0.000085,,,,0,191,7,0,0,deepseek/deepseek-chat-v3,Novita,standard,false,true,,stop,stop,1292,1161,false,Nexus-Key,Aider
gen-1787552589-CH4rMzNHMtUGmTRusiff,2026-08-24 06:23:09.147,0.000731,,,,0,1795,10,0,0,deepseek/deepseek-chat-v3,Novita,standard,false,true,,stop,stop,1734,1543,false,Nexus-Key,Aider
gen-1787552588-QGVUUcwJZS4FYvXrvvg9,2026-08-24 06:23:08.049,0.000065,,,,0,185,7,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,765,700,false,Nexus-Key,Aider
gen-1787552566-sG5NKmIBhLZbjsCLw1ia,2026-08-24 06:22:46.484,0.015428,,,,0,57473,617,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,21237,6420,false,Nexus-Key,Aider
gen-1787552550-4IbRQtc7aASzzONKSwaQ,2026-08-24 06:22:30.958,0.000088,,,,0,199,7,0,0,deepseek/deepseek-chat-v3,Novita,standard,false,true,,stop,stop,2271,2180,false,Nexus-Key,Aider
gen-1787552547-fenia9szkuKh5cbfWVJv,2026-08-24 06:22:27.848,0.001723,,,,0,4276,10,0,0,deepseek/deepseek-chat-v3,Novita,standard,false,true,,stop,stop,1421,1237,false,Nexus-Key,Aider
gen-1787552489-14cz4wAZI8IfiUGvUMKu,2026-08-24 06:21:29.330,0.025359,,,,0,56566,2102,0,0,deepseek/deepseek-chat-v3,Novita,standard,false,true,,stop,stop,57717,4169,false,Nexus-Key,Aider
gen-1787551108-JN3FlHdwAWULqursYV19,2026-08-24 05:58:28.079,0.005783,,,,0,23048,17,0,0,anthropic/claude-3-haiku,Amazon Bedrock,standard,false,true,,end_turn,stop,1915,1770,false,Nexus-Key,Aider
gen-1787551094-sdu2Gt6cPtDLFMImy8mQ,2026-08-24 05:58:14.433,0.005784,,,,0,23021,23,0,0,anthropic/claude-3-haiku,Amazon Bedrock,standard,false,true,,end_turn,stop,1658,1325,false,Nexus-Key,Aider
gen-1787550995-tNCslZofugrWMEOTk6WA,2026-08-24 05:56:35.782,0.009849,,,,0,18918,4096,0,0,anthropic/claude-3-haiku,Amazon Bedrock,standard,false,true,,max_tokens,length,37673,1516,false,Nexus-Key,Aider
gen-1787550952-X9ckRqwLfp7UGbZyJhjy,2026-08-24 05:55:52.331,0.006215,,,,0,17367,1499,0,0,anthropic/claude-3-haiku,Amazon Bedrock,standard,false,true,,end_turn,stop,15072,1293,false,Nexus-Key,Aider
gen-1787550534-Sdl3oBQ8g3gTTlkFVFYn,2026-08-24 05:48:54.543,0.000816,,,,0,222,10,0,0,anthropic/claude-4-sonnet-20250522,Amazon Bedrock,standard,false,true,,end_turn,stop,1085,932,false,Nexus-Key,Aider
